referencia,referencia_data,ativo,idtempo,idreserva,idsituacao,situacao,sigla,tempo,data_cad
13770,2025-04-01 09:22:46,S,13770,1971,1,Reserva (7),,1198,2025-04-01 09:22:46
13771,2025-04-01 10:36:21,S,13771,2537,1,Reserva (7),,8552,2025-04-01 10:36:21
13772,2025-04-01 10:58:39,S,13772,2044,1,Reserva (7),,1292,2025-04-01 10:58:39
13773,2025-04-01 10:59:56,S,13773,2102,1,Reserva (7),,1293,2025-04-01 10:59:56
13774,2025-04-01 11:03:03,S,13774,1922,20,Negociação (5),,30156,2025-04-01 11:03:03
13775,2025-04-01 11:33:16,S,13775,1963,1,Reserva (7),,1328,2025-04-01 11:33:16
13776,2025-04-01 11:56:59,S,13776,2493,23,Análise de proposta (Diretoria) (1),,1148,2025-04-01 11:56:59
13777,2025-04-01 11:57:08,S,13777,2505,23,Análise de proposta (Diretoria) (1),,1149,2025-04-01 11:57:08
13778,2025-04-01 13:36:14,S,13778,2527,16,Contrato - Elaboração (2),,1270,2025-04-01 13:36:14
13779,2025-04-01 14:11:00,S,13779,2402,19,Crédito (CEF) (3),,5670,2025-04-01 14:11:00
13780,2025-04-01 14:25:02,S,13780,2218,1,Reserva (7),,1497,2025-04-01 14:25:02
13781,2025-04-01 14:26:24,S,13781,2107,1,Reserva (7),,1499,2025-04-01 14:26:24
13782,2025-04-01 14:28:20,S,13782,1965,1,Reserva (7),,1503,2025-04-01 14:28:20
13783,2025-04-01 14:29:12,S,13783,1932,1,Reserva (7),,1498,2025-04-01 14:29:12
13784,2025-04-01 14:29:51,S,13784,2126,1,Reserva (7),,1502,2025-04-01 14:29:51
13785,2025-04-01 14:31:25,S,13785,1954,1,Reserva (7),,1507,2025-04-01 14:31:25
13786,2025-04-01 14:32:36,S,13786,2473,21,Crédito reprovado (CEF) (2),,8562,2025-04-01 14:32:36
13787,2025-04-01 14:41:03,S,13787,2361,19,Crédito (CEF) (3),,15865,2025-04-01 14:41:03
13788,2025-04-01 15:06:29,S,13788,2504,16,Contrato - Elaboração (2),,1360,2025-04-01 15:06:29
13789,2025-04-01 15:06:38,S,13789,2471,16,Contrato - Elaboração (2),,7424,2025-04-01 15:06:38
13790,2025-04-01 15:06:51,S,13790,2470,16,Contrato - Elaboração (2),,7425,2025-04-01 15:06:51
13791,2025-04-01 15:14:32,S,13791,2535,1,Reserva (7),,10146,2025-04-01 15:14:32
13792,2025-04-01 15:20:32,S,13792,2172,1,Reserva (7),,1553,2025-04-01 15:20:32
13793,2025-04-01 15:33:26,S,13793,1923,19,Crédito (CEF) (3),,1650,2025-04-01 15:33:26
